delta_date_hour,tempo_lav,ore_lav_rim,[0.0-0.5),[0.5-1.5),[1.5-2.5),[2.5-3.5),[3.5-4.5),[4.5-5.5),[5.5-6.5),[6.5-7.5),[7.5-8.5),[8.5-9.5),[9.5-10.5),[10.5-11.5),[11.5-12.5),[12.5-13.5),[13.5-14.5),[14.5-15.5),[15.5-16.5),[16.5-17.5),[17.5-18.5),[18.5-19.5),[19.5-20.5),[20.5-21.5),[21.5-22.5),[22.5-23.5),[23.5-24.5),[24.5-25.5),[25.5-26.5),[26.5-27.5),[27.5-28.5),[28.5-29.5),[29.5-30.5),[30.5-31.5),[31.5-32.5),[32.5-33.5),[33.5-34.5),[34.5-35.5),[35.5-36.5),[36.5-37.5),[37.5-38.5),[38.5-39.5),[39.5-40.5)
806,24.0,334.93,7280,43062,21030,11820,2512,613,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1193,48.0,310.93,13837,69978,52946,21901,9449,4523,130,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1680,72.0,286.93,15734,111949,93853,22917,9966,4585,160,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2855,96.0,262.93,17559,160965,123012,27562,11480,4821,170,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3552,120.0,238.93,20114,193655,157645,36232,17170,6223,826,120,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4199,144.0,214.93,24039,236979,177188,46662,20077,6988,1529,194,128,44,211,349,822,650,546,848,990,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4989,168.0,190.93,30507,276300,203469,55210,23746,8366,2099,284,188,44,211,349,822,666,546,848,990,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5228,192.0,166.93,38633,319389,232279,60099,24535,8706,2341,335,228,54,221,349,822,666,546,848,990,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5566,216.0,142.93,42099,365110,261641,67234,25171,8786,2341,335,228,54,221,349,822,666,546,848,990,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6256,240.0,118.93,49610,390083,304441,75045,26969,9790,2768,395,236,64,221,349,822,666,546,848,990,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6854,264.0,94.93,60948,437326,324749,82131,27232,9918,2808,395,236,64,221,349,822,666,546,848,990,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7270,288.0,70.93,63748,462952,367111,96101,28818,9959,2818,395,236,64,221,349,822,666,546,848,990,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7606,312.0,46.93,80550,511070,377241,100428,31402,11900,3308,1789,606,128,273,438,853,676,546,848,990,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7889,336.0,22.93,104860,544892,382485,102668,35803,17533,6197,4298,2661,605,625,627,1658,1503,984,1048,1000,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8039,358.93,0.0,112322,591952,410495,102668,35803,17533,6197,4298,2661,605,625,627,1658,1503,984,1048,1000,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
