delta_date_hour,tempo_lav,ore_lav_rim,[0.0-0.5),[0.5-1.5),[1.5-2.5),[2.5-3.5),[3.5-4.5),[4.5-5.5),[5.5-6.5),[6.5-7.5),[7.5-8.5),[8.5-9.5),[9.5-10.5),[10.5-11.5),[11.5-12.5),[12.5-13.5),[13.5-14.5),[14.5-15.5),[15.5-16.5),[16.5-17.5),[17.5-18.5),[18.5-19.5),[19.5-20.5),[20.5-21.5),[21.5-22.5),[22.5-23.5),[23.5-24.5),[24.5-25.5),[25.5-26.5),[26.5-27.5),[27.5-28.5),[28.5-29.5),[29.5-30.5),[30.5-31.5),[31.5-32.5),[32.5-33.5),[33.5-34.5),[34.5-35.5),[35.5-36.5),[36.5-37.5),[37.5-38.5),[38.5-39.5),[39.5-40.5)
1803,24.0,527.82,4199,20539,20980,21768,11431,5122,1519,612,124,55,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1869,48.0,503.82,11468,39391,56133,44115,13877,5369,1605,612,124,55,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,72.0,479.82,13890,57462,101222,62204,15868,5849,1823,652,124,55,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,96.0,455.82,16104,92306,129929,74371,22921,7171,1909,652,124,55,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2184,120.0,431.82,17308,130825,163650,82163,26242,8232,2564,784,124,55,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2311,144.0,407.82,17801,147101,205930,103490,31526,8823,2706,794,124,55,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2345,168.0,383.82,18922,180396,244936,113983,33518,9223,2778,814,124,55,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2377,192.0,359.82,22124,219746,276514,123252,36244,9499,2778,814,124,55,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2462,216.0,335.82,24331,251006,298054,139757,44050,12876,3889,1243,676,529,397,332,149,124,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2503,240.0,311.82,25043,269212,317580,154326,55060,27819,10372,2061,752,556,417,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2551,264.0,287.82,27100,289560,334599,167805,68522,41212,16351,2610,797,592,456,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2599,288.0,263.82,27134,300088,356728,187188,83037,57997,19247,2675,801,601,504,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2670,312.0,239.82,27194,322479,389149,211278,90070,58394,19257,2675,801,601,504,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2706,336.0,215.82,27194,333680,412326,236421,105655,68232,20689,2699,801,601,504,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2811,360.0,191.82,28746,379173,443241,243873,106287,68536,20739,2699,801,601,504,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2929,384.0,167.82,30723,401058,478665,263322,113518,68924,20759,2729,801,601,504,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3097,408.0,143.82,36275,419341,507173,286787,123265,69564,20949,2739,801,601,504,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3309,432.0,119.82,39836,454639,537294,299441,127299,70297,20949,2739,801,601,504,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3389,456.0,95.82,41596,475101,561857,323438,138539,74354,21272,2739,801,601,504,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3505,480.0,71.82,42700,500503,595374,347044,141253,74412,21272,2739,801,601,504,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3584,504.0,47.82,42709,524491,644285,359943,141833,74425,21272,2739,801,601,504,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3731,528.0,23.82,42709,548316,694531,371812,142253,74455,21282,2739,801,601,504,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3844,551.82,0.0,43953,572332,735649,388820,144502,74562,21282,2739,801,601,504,332,150,134,110,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
