delta_date_hour,tempo_lav,ore_lav_rim,[0.0-0.5),[0.5-1.5),[1.5-2.5),[2.5-3.5),[3.5-4.5),[4.5-5.5),[5.5-6.5),[6.5-7.5),[7.5-8.5),[8.5-9.5),[9.5-10.5),[10.5-11.5),[11.5-12.5),[12.5-13.5),[13.5-14.5),[14.5-15.5),[15.5-16.5),[16.5-17.5),[17.5-18.5),[18.5-19.5),[19.5-20.5),[20.5-21.5),[21.5-22.5),[22.5-23.5),[23.5-24.5),[24.5-25.5),[25.5-26.5),[26.5-27.5),[27.5-28.5),[28.5-29.5),[29.5-30.5),[30.5-31.5),[31.5-32.5),[32.5-33.5),[33.5-34.5),[34.5-35.5),[35.5-36.5),[36.5-37.5),[37.5-38.5),[38.5-39.5),[39.5-40.5)
1388,24.0,114.55,9192,54518,19259,2991,429,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2280,48.0,90.55,14032,100729,46509,9622,1653,189,22,11,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621,72.0,66.55,18042,149868,75249,13655,2123,199,22,11,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4245,96.0,42.55,21372,196073,106094,17275,3703,861,105,14,48,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4869,120.0,18.55,22852,233932,138806,26941,7683,1556,105,14,48,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5718,138.55,0.0,24361,257204,167503,38959,8910,1631,105,14,48,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
